period,date,one,two,three,four,five,six,special,
099000019,2010-03-05,22,35,38,21,03,15,04,
099000018,2010-03-02,34,38,02,33,03,09,45,
099000017,2010-02-26,22,06,47,32,05,34,01,
099000016,2010-02-23,45,19,05,40,48,23,06,
099000015,2010-02-19,27,43,14,30,12,37,36,
099000014,2010-02-16,49,29,26,43,36,05,12,
099000013,2010-02-12,32,01,23,40,14,31,35,
099000012,2010-02-09,32,09,13,35,45,34,38,
099000011,2010-02-05,36,01,19,05,33,14,16,
099000010,2010-02-02,27,15,21,09,41,18,46,
099000009,2010-01-29,34,18,16,49,29,44,08,
099000008,2010-01-26,26,39,40,33,28,25,10,
099000007,2010-01-22,03,23,24,31,32,46,47,
099000006,2010-01-19,32,35,25,45,24,13,05,
099000005,2010-01-15,47,04,49,07,26,41,03,
099000004,2010-01-12,36,01,48,23,46,34,18,
099000003,2010-01-08,01,43,21,45,19,08,30,
099000002,2010-01-05,32,38,11,24,18,40,47,
099000001,2010-01-01,22,20,23,02,16,27,46,
098000104,2009-12-29,48,21,25,12,42,29,06,
098000103,2009-12-25,09,22,42,12,47,30,27,
098000102,2009-12-22,10,11,24,27,14,47,32,
098000101,2009-12-18,16,32,45,43,03,42,06,
098000100,2009-12-15,43,48,38,44,35,04,37,
098000099,2009-12-11,36,12,48,20,29,15,31,
098000098,2009-12-08,19,04,32,16,39,27,21,
098000097,2009-12-04,13,02,03,22,19,39,21,
098000096,2009-12-01,27,11,23,29,49,38,40,
098000095,2009-11-27,05,19,15,26,06,01,14,
098000094,2009-11-24,13,40,23,27,02,07,04,
098000093,2009-11-20,31,13,26,15,05,20,35,
098000092,2009-11-17,10,34,01,08,49,04,46,
098000091,2009-11-13,47,33,13,32,38,25,26,
098000090,2009-11-10,02,25,42,07,22,26,44,
098000089,2009-11-06,46,45,10,01,02,44,22,
098000088,2009-11-03,13,34,05,26,29,20,30,
098000087,2009-10-30,37,08,04,20,39,12,30,
098000086,2009-10-27,02,46,28,42,12,32,23,
098000085,2009-10-23,06,34,19,18,21,05,10,
098000084,2009-10-20,11,14,46,01,12,41,45,
098000083,2009-10-16,43,15,30,13,20,29,01,
098000082,2009-10-13,49,40,44,28,05,13,43,
098000081,2009-10-09,14,10,33,17,41,40,12,
098000080,2009-10-06,33,26,14,22,09,15,16,
098000079,2009-10-02,09,25,15,30,35,28,22,
098000078,2009-09-29,27,32,17,47,37,45,25,
098000077,2009-09-25,09,37,13,01,33,16,04,
098000076,2009-09-22,21,08,12,03,42,04,48,
098000075,2009-09-18,38,02,08,09,04,26,23,
098000074,2009-09-15,36,02,04,43,48,26,30,
098000073,2009-09-11,33,48,16,18,31,10,07,
098000072,2009-09-08,12,15,19,08,11,20,34,
098000071,2009-09-04,40,05,49,31,28,36,20,
098000070,2009-09-01,26,08,19,36,12,07,09,
098000069,2009-08-28,39,23,45,44,12,48,47,
098000068,2009-08-25,38,09,01,07,21,15,31,
098000067,2009-08-21,42,32,37,11,13,43,20,
098000066,2009-08-18,18,47,31,11,46,12,27,
098000065,2009-08-14,39,08,04,26,15,49,34,
098000064,2009-08-11,24,46,27,03,30,28,42,
098000063,2009-08-07,26,02,31,15,01,49,43,
098000062,2009-08-04,23,21,27,48,44,02,30,
098000061,2009-07-31,07,04,10,09,24,42,41,
098000060,2009-07-28,02,49,13,15,25,10,04,
098000059,2009-07-24,40,01,07,22,47,03,15,
098000058,2009-07-21,39,28,48,17,27,05,44,
098000057,2009-07-17,11,13,38,16,09,42,06,
098000056,2009-07-14,41,37,44,04,15,05,08,
098000055,2009-07-10,08,46,03,21,30,26,11,
098000054,2009-07-07,47,31,25,39,37,02,35,
098000053,2009-07-03,40,41,19,47,17,32,37,
098000052,2009-06-30,34,26,07,04,09,21,28,
098000051,2009-06-26,38,06,12,43,45,33,49,
098000050,2009-06-23,49,43,22,21,06,29,48,
098000049,2009-06-19,40,23,02,12,42,19,09,
098000048,2009-06-16,08,05,25,30,10,03,15,
098000047,2009-06-12,44,43,12,41,32,13,21,
098000046,2009-06-09,26,44,49,36,35,27,42,
098000045,2009-06-05,06,27,44,42,49,23,15,
098000044,2009-06-02,46,11,34,12,20,28,41,
098000043,2009-05-29,45,36,21,29,34,30,49,
098000042,2009-05-26,39,08,48,41,03,33,32,
098000041,2009-05-22,18,01,32,02,40,16,15,
098000040,2009-05-19,38,46,32,11,31,48,42,
098000039,2009-05-15,07,18,05,15,45,14,11,
098000038,2009-05-12,44,20,39,03,01,26,30,
098000037,2009-05-08,03,22,19,24,31,15,05,
098000036,2009-05-05,45,37,12,15,42,47,29,
098000035,2009-05-01,05,38,21,43,03,26,32,
098000034,2009-04-28,18,05,39,30,43,29,26,
098000033,2009-04-24,24,20,49,42,13,21,43,
098000032,2009-04-21,16,36,11,27,39,23,35,
098000031,2009-04-17,24,38,21,18,22,16,34,
098000030,2009-04-14,45,23,08,48,02,20,43,
098000029,2009-04-10,25,36,40,44,08,09,17,
098000028,2009-04-07,43,46,24,12,31,03,42,
098000027,2009-04-03,36,33,44,06,42,45,48,
098000026,2009-03-31,25,16,47,31,23,13,36,
098000025,2009-03-27,01,28,18,34,40,02,25,
098000024,2009-03-24,18,29,21,25,07,02,32,
098000023,2009-03-20,31,18,07,11,02,09,05,
098000022,2009-03-17,35,05,23,18,29,01,27,
098000021,2009-03-13,47,24,46,45,32,09,33,
098000020,2009-03-10,13,38,28,36,09,26,46,
098000019,2009-03-06,13,26,31,32,21,06,30,
098000018,2009-03-03,45,26,07,28,34,14,09,
098000017,2009-02-27,34,17,26,19,36,13,02,
098000016,2009-02-24,04,25,38,23,11,46,17,
098000015,2009-02-20,01,40,13,49,34,24,37,
098000014,2009-02-17,43,22,36,21,16,05,28,
098000013,2009-02-13,03,24,02,42,45,07,10,
098000012,2009-02-10,18,48,12,46,09,30,42,
098000011,2009-02-06,10,32,07,21,27,04,37,
098000010,2009-02-03,14,43,03,42,23,10,34,
098000009,2009-01-30,10,05,41,39,02,23,48,
098000008,2009-01-27,32,13,27,35,38,14,48,
098000007,2009-01-23,10,28,11,40,38,21,29,
098000006,2009-01-20,40,23,22,07,21,43,34,
098000005,2009-01-16,08,40,24,26,33,25,13,
098000004,2009-01-13,18,48,47,04,11,33,30,
098000003,2009-01-09,37,30,45,27,04,15,19,
098000002,2009-01-06,21,20,15,29,33,04,16,
098000001,2009-01-02,26,38,06,02,35,23,11,
097000105,2008-12-30,25,09,39,26,36,03,35,
097000104,2008-12-26,40,18,37,08,33,15,32,
097000103,2008-12-23,23,45,02,25,07,39,22,
097000102,2008-12-19,10,30,15,38,45,03,41,
097000101,2008-12-16,35,40,25,26,39,14,37,
097000100,2008-12-12,34,28,42,39,02,36,24,
097000099,2008-12-09,26,16,41,06,01,05,48,
097000098,2008-12-05,02,08,44,40,03,31,45,
097000097,2008-12-02,21,07,37,30,49,29,36,
097000096,2008-11-28,05,01,17,07,16,41,20,
097000095,2008-11-25,15,39,46,49,04,26,11,
097000094,2008-11-21,37,17,16,30,28,21,09,
097000093,2008-11-18,34,39,17,29,14,20,07,
097000092,2008-11-14,36,07,23,43,35,15,08,
097000091,2008-11-11,45,39,11,33,13,34,15,
097000090,2008-11-07,33,25,40,15,30,46,18,
097000089,2008-11-04,40,32,19,11,20,13,09,
097000088,2008-10-31,09,01,47,11,19,03,40,
097000087,2008-10-28,12,14,02,36,41,07,35,
097000086,2008-10-24,49,14,06,09,05,08,03,
097000085,2008-10-21,04,30,07,08,02,18,33,
097000084,2008-10-17,05,36,28,11,15,19,46,
097000083,2008-10-14,28,46,30,08,44,43,12,
097000082,2008-10-10,13,24,14,41,20,47,06,
097000081,2008-10-07,33,01,34,20,29,28,40,
097000080,2008-10-03,18,41,48,19,37,45,09,
097000079,2008-09-30,22,09,13,01,07,27,34,
097000078,2008-09-26,42,30,15,41,29,36,39,
097000077,2008-09-23,20,22,29,35,02,09,38,
097000076,2008-09-19,23,02,13,48,28,35,18,
097000075,2008-09-16,02,31,44,32,46,25,07,
097000074,2008-09-12,34,37,16,09,18,01,12,
097000073,2008-09-09,46,23,28,10,35,27,02,
097000072,2008-09-05,02,32,33,22,14,03,24,
097000071,2008-09-02,03,34,25,21,10,02,47,
097000070,2008-08-29,28,24,02,25,26,46,49,
097000069,2008-08-26,23,18,24,02,04,06,32,
097000068,2008-08-22,04,37,08,26,31,05,10,
097000067,2008-08-19,39,43,16,02,25,35,26,
097000066,2008-08-15,23,08,24,43,14,44,04,
097000065,2008-08-12,43,16,24,33,22,49,45,
097000064,2008-08-08,35,16,08,33,49,20,24,
097000063,2008-08-05,29,10,41,44,05,45,06,
097000062,2008-08-01,37,38,07,22,18,11,30,
097000061,2008-07-29,41,39,43,45,16,42,14,
097000060,2008-07-25,19,25,29,07,43,35,01,
097000059,2008-07-22,01,29,30,33,25,17,47,
097000058,2008-07-18,38,09,04,15,06,20,27,
097000057,2008-07-15,06,16,21,45,37,36,40,
097000056,2008-07-11,34,07,21,23,22,36,11,
097000055,2008-07-08,32,33,14,36,23,42,03,
097000054,2008-07-04,21,10,43,49,06,17,33,
097000053,2008-07-01,48,15,43,35,24,20,09,
097000052,2008-06-27,41,38,02,09,10,01,31,
097000051,2008-06-24,08,20,02,43,33,07,04,
097000050,2008-06-20,24,28,03,39,20,21,23,
097000049,2008-06-17,41,32,15,40,07,01,09,
097000048,2008-06-13,08,39,31,20,07,21,06,
097000047,2008-06-10,22,19,39,14,20,34,37,
097000046,2008-06-06,22,31,20,42,01,40,38,
097000045,2008-06-03,31,01,27,20,29,24,04,
097000044,2008-05-30,42,12,08,20,32,11,30,
097000043,2008-05-27,04,15,49,24,41,07,30,
097000042,2008-05-23,11,37,44,29,02,10,13,
097000041,2008-05-20,45,17,08,47,14,42,39,
097000040,2008-05-16,22,07,26,03,21,40,41,
097000039,2008-05-13,41,31,37,38,11,47,18,
097000038,2008-05-09,15,43,36,23,48,17,21,
097000037,2008-05-06,09,23,46,10,15,48,38,
097000036,2008-05-02,14,45,13,33,11,39,41,
097000035,2008-04-29,42,11,02,35,03,32,18,
097000034,2008-04-25,45,15,48,20,47,04,34,
097000033,2008-04-22,49,36,10,15,44,31,07,
097000032,2008-04-18,35,43,13,38,04,25,30,
097000031,2008-04-15,43,47,32,33,13,20,28,
097000030,2008-04-11,25,23,06,42,28,05,43,
097000029,2008-04-08,29,32,23,39,37,11,31,
097000028,2008-04-04,28,23,44,38,13,30,26,
097000027,2008-04-01,32,25,08,33,24,16,12,
097000026,2008-03-28,19,26,08,09,01,12,49,
097000025,2008-03-25,33,03,13,05,02,49,10,
097000024,2008-03-21,11,49,27,32,34,14,28,
097000023,2008-03-18,38,09,27,01,33,49,31,
097000022,2008-03-14,44,34,21,30,03,49,13,
097000021,2008-03-11,44,30,07,08,21,36,04,
097000020,2008-03-07,28,40,41,25,12,42,29,
097000019,2008-03-04,25,38,22,01,47,15,16,
097000018,2008-02-29,07,01,09,10,18,27,43,
097000017,2008-02-26,40,06,33,37,47,16,28,
097000016,2008-02-22,43,30,12,07,03,01,22,
097000015,2008-02-19,26,22,31,16,39,43,09,
097000014,2008-02-15,31,01,42,41,46,22,36,
097000013,2008-02-12,12,05,27,25,22,19,29,
097000012,2008-02-08,07,15,03,06,01,27,39,
097000011,2008-02-05,33,29,42,35,30,17,10,
097000010,2008-02-01,02,06,20,38,01,18,29,
097000009,2008-01-29,49,42,21,38,34,41,25,
097000008,2008-01-25,20,01,15,24,04,40,32,
097000007,2008-01-22,37,26,14,13,09,30,05,
097000006,2008-01-18,06,18,36,25,08,26,13,
097000005,2008-01-15,41,31,05,08,32,10,11,
097000004,2008-01-11,27,08,37,03,49,07,48,
097000003,2008-01-08,17,28,44,12,07,03,36,
097000002,2008-01-04,13,05,40,31,29,39,33,
097000001,2008-01-01,48,18,13,27,43,47,21,
096000104,2007-12-28,12,18,10,22,16,29,30,
096000103,2007-12-25,31,09,37,05,18,06,32,
096000102,2007-12-21,20,28,15,22,19,44,42,
096000101,2007-12-18,13,07,04,19,49,23,17,
096000100,2007-12-14,34,01,17,27,26,39,13,
096000099,2007-12-11,10,43,27,16,20,15,19,
096000098,2007-12-07,08,17,28,32,34,10,42,
096000097,2007-12-04,01,43,16,38,44,31,42,
096000096,2007-11-30,15,08,19,45,16,30,44,
096000095,2007-11-27,08,47,12,36,34,16,33,
096000094,2007-11-23,43,46,01,49,23,22,33,
096000093,2007-11-20,01,22,20,16,17,42,29,
096000092,2007-11-16,16,39,42,20,46,22,38,
096000091,2007-11-13,37,16,17,05,03,32,24,
096000090,2007-11-09,24,12,06,01,02,18,25,
096000089,2007-11-06,43,44,10,01,27,40,02,
096000088,2007-11-02,48,10,04,44,28,45,39,
096000087,2007-10-30,04,09,01,41,19,17,07,
096000086,2007-10-26,36,21,13,03,11,16,26,
096000085,2007-10-23,49,25,29,10,47,34,17,
096000084,2007-10-19,36,15,28,17,46,22,24,
096000083,2007-10-16,38,07,18,40,11,05,31,
096000082,2007-10-12,09,28,26,37,20,23,44,
096000081,2007-10-09,40,36,47,09,38,46,13,
096000080,2007-10-05,19,48,26,29,10,03,18,
096000079,2007-10-02,49,03,04,09,24,08,23,
096000078,2007-09-28,16,19,08,30,09,17,45,
096000077,2007-09-25,08,42,38,28,10,12,33,
096000076,2007-09-21,39,16,24,35,31,01,21,
096000075,2007-09-18,20,46,29,37,31,25,49,
096000074,2007-09-14,45,22,27,15,02,48,32,
096000073,2007-09-11,28,18,14,03,22,36,47,
096000072,2007-09-07,22,05,49,32,42,03,28,
096000071,2007-09-04,21,17,42,48,09,18,07,
096000070,2007-08-31,35,31,23,44,40,41,21,
096000069,2007-08-28,22,29,39,02,11,34,45,
096000068,2007-08-24,47,04,25,07,12,06,09,
096000067,2007-08-21,46,24,42,16,38,25,06,
096000066,2007-08-17,43,35,31,02,12,47,40,
096000065,2007-08-14,38,26,02,25,12,05,06,
096000064,2007-08-10,35,11,40,29,22,27,48,
096000063,2007-08-07,05,01,35,18,25,41,14,
096000062,2007-08-03,02,15,12,40,27,38,35,
096000061,2007-07-31,39,01,06,41,07,25,05,
096000060,2007-07-27,21,39,13,42,46,32,36,
096000059,2007-07-24,31,01,12,22,29,07,04,
096000058,2007-07-20,10,05,02,23,25,19,11,
096000057,2007-07-17,29,49,15,48,39,37,46,
096000056,2007-07-13,10,34,35,13,05,18,15,
096000055,2007-07-10,34,44,40,45,29,02,01,
096000054,2007-07-06,36,23,48,12,09,44,26,
096000053,2007-07-03,09,49,24,01,05,21,35,
096000052,2007-06-29,09,26,29,44,23,28,31,
096000051,2007-06-26,37,43,38,18,24,47,02,
096000050,2007-06-22,13,35,42,39,32,41,01,
096000049,2007-06-19,20,41,28,43,33,45,10,
096000048,2007-06-15,17,46,36,34,28,11,26,
096000047,2007-06-12,05,38,39,03,20,44,43,
096000046,2007-06-08,46,26,28,02,01,11,16,
096000045,2007-06-05,47,25,23,36,16,01,21,
096000044,2007-06-01,11,43,34,25,07,08,16,
096000043,2007-05-29,10,45,43,48,15,18,11,
096000042,2007-05-25,13,25,11,36,02,34,38,
096000041,2007-05-22,41,48,01,30,18,32,24,
096000040,2007-05-18,41,27,43,11,12,46,36,
096000039,2007-05-15,35,31,48,47,40,13,39,
096000038,2007-05-11,29,26,10,13,47,21,49,
096000037,2007-05-08,27,01,46,41,28,16,38,
096000036,2007-05-04,06,38,40,22,44,34,15,
096000035,2007-05-01,24,28,49,34,45,21,46,
096000034,2007-04-27,42,32,10,38,09,29,37,
096000033,2007-04-24,40,38,08,20,25,22,41,
096000032,2007-04-20,49,09,15,44,19,16,37,
096000031,2007-04-17,45,48,31,08,44,40,06,
096000030,2007-04-13,23,31,15,05,33,28,49,
096000029,2007-04-10,20,06,42,02,47,04,39,
096000028,2007-04-06,18,22,37,34,35,10,41,
096000027,2007-04-03,39,49,45,04,10,43,33,
096000026,2007-03-30,14,45,46,40,33,31,49,
096000025,2007-03-27,39,11,21,42,43,04,10,
096000024,2007-03-23,19,32,17,20,05,06,18,
096000023,2007-03-20,47,37,14,15,25,49,13,
096000022,2007-03-16,35,43,28,49,36,38,47,
096000021,2007-03-13,41,04,22,13,24,26,28,
096000020,2007-03-09,21,14,23,31,20,12,45,
096000019,2007-03-06,33,02,15,46,16,31,40,
096000018,2007-03-02,15,39,49,32,12,24,06,
096000017,2007-02-27,49,39,06,36,48,22,28,
096000016,2007-02-23,13,39,48,25,05,30,36,
096000015,2007-02-20,01,19,45,38,33,13,36,
096000014,2007-02-16,34,48,44,19,27,18,37,
096000013,2007-02-13,02,46,25,39,08,43,13,
096000012,2007-02-09,45,07,28,41,48,30,44,
096000011,2007-02-06,16,26,32,48,12,41,01,
096000010,2007-02-02,48,10,12,07,08,47,38,
096000009,2007-01-30,45,06,26,18,39,42,14,
096000008,2007-01-26,36,34,08,26,18,13,17,
096000007,2007-01-23,44,15,07,31,36,06,29,
096000006,2007-01-19,46,45,44,26,06,27,02,
096000005,2007-01-16,28,38,13,33,43,48,04,
096000004,2007-01-12,26,31,33,10,28,16,44,
096000003,2007-01-09,28,39,35,45,26,44,18,
096000002,2007-01-05,19,44,42,48,23,12,33,
096000001,2007-01-02,27,31,13,49,23,21,19,
095000104,2006-12-28,01,04,07,08,25,31,33,
095000103,2006-12-26,06,13,24,31,32,49,03,
095000102,2006-12-21,16,32,42,45,46,49,03,
095000101,2006-12-19,12,19,30,32,34,36,37,
095000100,2006-12-14,02,04,08,27,33,48,14,
095000099,2006-12-12,16,18,37,38,45,46,10,
095000098,2006-12-07,05,27,28,30,35,42,37,
095000097,2006-12-05,14,26,28,35,41,45,33,
095000096,2006-11-30,03,06,07,14,16,43,17,
095000095,2006-11-28,14,19,31,37,42,45,11,
095000094,2006-11-23,01,23,34,37,43,45,09,
095000093,2006-11-21,06,07,11,19,47,48,17,
095000092,2006-11-16,02,17,28,29,38,49,16,
095000091,2006-11-14,05,17,29,34,38,47,26,
095000090,2006-11-09,12,14,20,22,37,40,23,
095000089,2006-11-07,05,18,20,33,38,40,34,
095000088,2006-11-02,06,30,34,45,46,48,29,
095000087,2006-10-31,06,08,29,39,46,49,23,
095000086,2006-10-26,05,07,11,19,36,42,23,
095000085,2006-10-24,01,04,05,15,18,42,06,
095000084,2006-10-19,09,10,12,25,33,38,05,
095000083,2006-10-17,08,13,16,41,43,46,31,
095000082,2006-10-12,09,17,23,26,30,41,19,
095000081,2006-10-10,01,17,21,35,36,46,19,
095000080,2006-10-05,07,15,20,32,36,44,03,
095000079,2006-10-03,06,07,23,31,33,36,24,
095000078,2006-09-28,08,19,30,33,37,43,22,
095000077,2006-09-26,02,06,08,25,30,45,38,
095000076,2006-09-21,06,13,20,21,33,40,26,
095000075,2006-09-19,01,09,21,39,40,41,46,
095000074,2006-09-14,01,10,37,39,43,44,35,
095000073,2006-09-12,02,08,11,14,15,21,31,
095000072,2006-09-07,11,12,15,28,43,48,37,
095000071,2006-09-05,02,05,27,30,33,48,19,
095000070,2006-08-31,05,06,25,33,38,49,47,
095000069,2006-08-29,17,24,34,38,42,49,30,
095000068,2006-08-24,10,11,14,17,21,45,19,
095000067,2006-08-22,16,20,24,30,38,40,06,
095000066,2006-08-17,18,23,25,28,35,36,16,
095000065,2006-08-15,06,10,19,27,32,41,43,
095000064,2006-08-10,03,09,16,40,43,48,42,
095000063,2006-08-08,04,08,12,20,22,39,48,
095000062,2006-08-03,03,20,21,42,44,46,25,
095000061,2006-08-01,12,28,29,35,37,42,08,
095000060,2006-07-27,04,36,37,42,45,46,01,
095000059,2006-07-25,14,16,25,27,42,49,44,
095000058,2006-07-20,07,30,37,41,43,49,10,
095000057,2006-07-18,11,20,31,34,36,38,15,
095000056,2006-07-13,06,16,24,34,42,43,23,
095000055,2006-07-11,01,06,09,16,42,44,03,
095000054,2006-07-06,14,23,24,41,44,47,10,
095000053,2006-07-04,08,09,14,19,20,33,29,
095000052,2006-06-29,11,15,17,21,23,31,09,
095000051,2006-06-27,01,20,29,30,35,39,43,
095000050,2006-06-22,01,18,31,39,41,47,44,
095000049,2006-06-20,03,08,14,18,19,43,29,
095000048,2006-06-15,01,25,35,37,44,46,43,
095000047,2006-06-13,08,11,12,32,38,45,24,
095000046,2006-06-08,03,04,15,23,26,47,12,
095000045,2006-06-06,04,12,15,37,41,42,19,
095000044,2006-06-01,04,11,34,35,45,48,24,
095000043,2006-05-30,02,09,15,16,22,49,07,
095000042,2006-05-26,01,15,20,37,47,48,38,
095000041,2006-05-23,11,20,31,38,42,46,37,
095000040,2006-05-18,01,23,28,46,47,49,06,
095000039,2006-05-16,08,20,35,36,45,46,44,
095000038,2006-05-11,02,12,19,26,34,46,38,
095000037,2006-05-09,05,08,18,26,38,42,02,
095000036,2006-05-04,02,03,19,26,27,41,07,
095000035,2006-05-02,03,16,24,25,40,43,48,
095000034,2006-04-27,09,12,30,33,42,49,04,
095000033,2006-04-25,03,09,19,40,44,49,04,
095000032,2006-04-20,09,13,15,27,34,42,02,
095000031,2006-04-18,04,06,14,16,20,41,02,
095000030,2006-04-13,01,23,25,37,39,45,21,
095000029,2006-04-11,08,10,16,22,37,38,14,
095000028,2006-04-06,05,23,36,38,40,42,01,
095000027,2006-04-04,06,10,11,32,34,39,07,
095000026,2006-03-30,12,17,26,31,35,48,40,
095000025,2006-03-28,05,08,09,15,29,45,18,
095000024,2006-03-23,07,23,28,29,38,46,14,
095000023,2006-03-20,12,28,30,40,47,49,03,
095000022,2006-03-16,03,09,18,42,45,46,05,
095000021,2006-03-14,04,21,25,35,39,42,45,
095000020,2006-03-09,06,13,15,17,18,22,03,
095000019,2006-03-06,05,07,09,15,31,34,38,
095000018,2006-03-02,05,08,24,31,32,39,04,
095000017,2006-02-27,09,17,18,27,36,42,10,
095000016,2006-02-23,07,12,16,17,19,33,39,
095000015,2006-02-20,02,14,18,21,37,43,13,
095000014,2006-02-16,05,06,18,23,26,29,16,
095000013,2006-02-13,03,15,21,23,36,49,10,
095000012,2006-02-09,12,21,34,37,38,39,27,
095000011,2006-02-06,11,15,18,25,29,49,05,
095000010,2006-02-02,02,08,12,20,26,33,13,
095000009,2006-01-30,04,05,13,26,32,42,46,
095000008,2006-01-26,10,29,30,32,43,47,35,
095000007,2006-01-23,01,11,16,21,23,40,10,
095000006,2006-01-19,03,11,18,20,21,26,24,
095000005,2006-01-16,04,12,15,19,26,31,41,
095000004,2006-01-12,07,11,22,24,28,30,35,
095000003,2006-01-09,08,20,22,39,45,46,31,
095000002,2006-01-05,18,23,26,38,39,48,45,
095000001,2006-01-02,06,15,22,25,35,41,21,
094000104,2005-12-29,06,07,10,13,31,39,18,
094000103,2005-12-26,01,02,07,08,27,45,19,
094000102,2005-12-22,12,22,24,26,27,47,40,
094000101,2005-12-19,03,20,21,22,26,27,25,
094000100,2005-12-15,07,16,32,39,45,49,30,
094000099,2005-12-12,26,28,29,30,36,37,18,
094000098,2005-12-08,13,18,26,28,35,48,42,
094000097,2005-12-05,25,31,34,40,41,47,15,
094000096,2005-12-01,07,30,38,39,40,43,13,
094000095,2005-11-28,02,14,23,25,26,40,06,
094000094,2005-11-24,09,11,30,41,47,49,04,
094000093,2005-11-21,07,13,23,33,34,42,30,
094000092,2005-11-17,02,03,04,17,27,39,15,
094000091,2005-11-14,02,13,29,39,44,49,35,
094000090,2005-11-10,04,07,19,30,36,46,48,
094000089,2005-11-07,16,17,23,32,42,48,02,
094000088,2005-11-03,06,08,17,19,30,47,23,
094000087,2005-10-31,05,10,22,26,31,48,41,
094000086,2005-10-27,06,08,23,26,28,36,37,
094000085,2005-10-24,07,08,17,22,27,44,28,
094000084,2005-10-20,11,13,14,21,42,47,22,
094000083,2005-10-17,27,30,35,39,43,47,25,
094000082,2005-10-13,03,11,26,43,46,48,05,
094000081,2005-10-10,06,11,23,29,45,49,26,
094000080,2005-10-06,02,08,24,28,31,48,15,
094000079,2005-10-03,03,15,16,25,40,48,18,
094000078,2005-09-29,01,08,19,23,38,40,05,
094000077,2005-09-26,04,18,26,37,41,44,06,
094000076,2005-09-22,02,11,35,37,48,49,05,
094000075,2005-09-19,03,26,29,38,43,45,28,
094000074,2005-09-15,04,15,23,41,44,45,46,
094000073,2005-09-12,04,24,28,30,35,39,19,
094000072,2005-09-08,03,10,11,36,37,45,29,
094000071,2005-09-05,05,08,22,26,27,44,10,
094000070,2005-09-01,06,12,20,43,47,48,41,
094000069,2005-08-29,09,10,36,40,42,43,41,
094000068,2005-08-25,02,04,06,21,25,46,28,
094000067,2005-08-22,17,18,23,24,25,28,41,
094000066,2005-08-18,03,08,11,36,38,49,19,
094000065,2005-08-15,13,15,33,37,38,41,47,
094000064,2005-08-11,09,20,22,31,45,46,03,
094000063,2005-08-08,24,28,37,38,43,45,18,
094000062,2005-08-04,09,20,26,29,40,41,21,
094000061,2005-08-01,02,13,16,36,44,47,21,
094000060,2005-07-28,09,14,24,27,37,41,12,
094000059,2005-07-25,05,12,25,27,41,44,18,
094000058,2005-07-21,11,22,26,28,33,37,42,
094000057,2005-07-18,07,11,13,25,30,40,06,
094000056,2005-07-14,03,22,31,43,46,47,14,
094000055,2005-07-11,01,11,14,18,35,43,25,
094000054,2005-07-07,06,12,21,27,36,48,18,
094000053,2005-07-04,02,15,17,31,32,38,11,
094000052,2005-06-30,02,04,05,09,35,45,48,
094000051,2005-06-27,10,17,22,37,43,49,08,
094000050,2005-06-23,04,10,18,34,40,43,03,
094000049,2005-06-20,04,20,22,28,47,48,43,
094000048,2005-06-16,08,12,16,25,28,45,49,
094000047,2005-06-13,09,14,25,31,36,46,40,
094000046,2005-06-09,04,06,13,22,30,44,05,
094000045,2005-06-06,03,04,09,10,28,45,37,
094000044,2005-06-02,04,15,21,30,41,46,48,
094000043,2005-05-30,04,08,11,15,16,25,43,
094000042,2005-05-26,03,09,16,18,41,48,22,
094000041,2005-05-23,02,08,09,10,21,31,44,
094000040,2005-05-19,02,04,14,24,27,46,28,
094000039,2005-05-16,01,06,11,37,41,44,04,
094000038,2005-05-12,15,28,29,31,32,47,18,
094000037,2005-05-09,01,02,07,09,16,29,15,
094000036,2005-05-05,05,14,18,34,44,47,10,
094000035,2005-05-02,01,03,29,35,43,47,40,
094000034,2005-04-28,04,05,15,20,29,39,34,
094000033,2005-04-25,01,16,25,34,36,38,41,
094000032,2005-04-21,04,05,22,33,36,43,26,
094000031,2005-04-18,11,20,40,41,45,49,36,
094000030,2005-04-14,18,20,25,36,48,49,21,
094000029,2005-04-11,02,06,09,24,27,45,49,
094000028,2005-04-07,05,15,23,29,31,44,17,
094000027,2005-04-04,05,15,28,29,33,40,26,
094000026,2005-03-31,20,22,28,38,41,47,25,
094000025,2005-03-28,01,02,09,25,28,44,42,
094000024,2005-03-24,07,10,23,44,45,47,38,
094000023,2005-03-21,02,05,06,19,38,45,01,
094000022,2005-03-17,07,10,12,22,30,34,08,
094000021,2005-03-14,05,12,19,21,33,42,09,
094000020,2005-03-10,01,03,16,31,42,48,23,
094000019,2005-03-07,01,06,16,34,36,40,38,
094000018,2005-03-03,25,28,31,32,34,36,43,
094000017,2005-02-28,14,21,25,27,43,47,05,
094000016,2005-02-24,02,04,36,41,42,48,34,
094000015,2005-02-21,06,11,21,22,35,41,27,
094000014,2005-02-17,12,14,21,23,25,30,03,
094000013,2005-02-14,05,07,24,26,30,47,36,
094000012,2005-02-10,19,26,28,33,38,46,48,
094000011,2005-02-07,11,31,41,44,47,49,25,
094000010,2005-02-03,07,08,19,30,43,48,49,
094000009,2005-01-31,02,17,31,35,37,46,03,
094000008,2005-01-27,03,25,39,44,45,48,13,
094000007,2005-01-24,14,17,30,31,36,47,28,
094000006,2005-01-20,01,23,26,27,33,41,18,
094000005,2005-01-17,07,14,16,38,45,49,25,
094000004,2005-01-13,01,02,15,21,31,35,33,
